Adjectives_Verbs;Nouns _Dependent;Adjective_Type
protect*;employer*;positive
protect*;export*;positive
protect*;fiscal;positive
protect*;foreign demand;positive
protect*;fundamental*;positive
protect*;government balance sheet*;positive
protect*;government bond*;positive
protect*;government budget;positive
protect*;import*;positive
protect*;integration;positive
protect*;labo(u)r;positive
protect*;package;positive
protect*;political unity ;positive
protect*;program*;positive
protect*;public sector ;positive
protect*;public service;positive
protect*;redistribut*;positive
protect*;reform*;positive
protect*;small and medium;positive
protect*;SME*;positive
protect*;sovereign bond*;positive
protect*;state budget ;positive
protect*;state securit*;positive
protect*;transmission ;positive
protect*;wage*;positive
rais*;bail-out ;positive
rais*;bailout;positive
rais*;bond*;positive
rais*;domestic demand;positive
rais*;employee*;positive
rais*;employer*;positive
rais*;export*;positive
rais*;fiscal;positive
rais*;foreign demand;positive
rais*;fundamental*;positive
rais*;government balance sheet*;positive
rais*;government bond*;positive
rais*;government budget;positive
rais*;import*;positive
rais*;integration;positive
rais*;labo(u)r;positive
rais*;package;positive
rais*;political unity ;positive
rais*;program*;positive
rais*;public sector ;positive
rais*;public service;positive
rais*;redistribut*;positive
rais*;reform*;positive
rais*;small and medium;positive
rais*;SME*;positive
rais*;sovereign bond*;positive
rais*;state budget ;positive
rais*;state securit*;positive
rais*;transmission ;positive
rais*;wage*;positive
relief;bail-out ;positive
relief;bailout;positive
relief;bond*;positive
relief;domestic demand;positive
relief;employee*;positive
relief;employer*;positive
relief;export*;positive
relief;fiscal;positive
relief;foreign demand;positive
relief;fundamental*;positive
relief;government balance sheet*;positive
relief;government bond*;positive
relief;government budget;positive
relief;import*;positive
relief;integration;positive
relief;labo(u)r;positive
relief;package;positive
relief;political unity ;positive
relief;program*;positive
relief;public sector ;positive
relief;public service;positive
relief;redistribut*;positive
relief;reform*;positive
relief;small and medium;positive
relief;SME*;positive
relief;sovereign bond*;positive
relief;state budget ;positive
relief;state securit*;positive
relief;transmission ;positive
relief;wage*;positive
rescue;bail-out ;positive
rescue;bailout;positive
rescue;bond*;positive
rescue;domestic demand;positive
rescue;employee*;positive
rescue;employer*;positive
rescue;export*;positive
rescue;fiscal;positive
rescue;foreign demand;positive
rescue;fundamental*;positive
rescue;government balance sheet*;positive
rescue;government bond*;positive
rescue;government budget;positive
rescue;import*;positive
rescue;integration;positive
rescue;labo(u)r;positive
rescue;package;positive
rescue;political unity ;positive
rescue;program*;positive
rescue;public sector ;positive
rescue;public service;positive
rescue;redistribut*;positive
rescue;reform*;positive
rescue;small and medium;positive
rescue;SME*;positive
rescue;sovereign bond*;positive
rescue;state budget ;positive
rescue;state securit*;positive
rescue;transmission ;positive
rescue;wage*;positive
responsib*;bail-out ;positive
responsib*;bailout;positive
responsib*;bond*;positive
responsib*;domestic demand;positive
responsib*;employee*;positive
responsib*;employer*;positive
responsib*;export*;positive
responsib*;fiscal;positive
responsib*;foreign demand;positive
responsib*;fundamental*;positive
responsib*;government balance sheet*;positive
responsib*;government bond*;positive
responsib*;government budget;positive
responsib*;import*;positive
responsib*;integration;positive
responsib*;labo(u)r;positive
responsib*;package;positive
responsib*;political unity ;positive
responsib*;program*;positive
responsib*;public sector ;positive
responsib*;public service;positive
responsib*;redistribut*;positive
responsib*;reform*;positive
responsib*;small and medium;positive
responsib*;SME*;positive
responsib*;sovereign bond*;positive
responsib*;state budget ;positive
responsib*;state securit*;positive
responsib*;transmission ;positive
responsib*;wage*;positive
risi*;bail-out ;positive
risi*;bailout;positive
risi*;bond*;positive
risi*;domestic demand;positive
risi*;employee*;positive
risi*;employer*;positive
risi*;export*;positive
risi*;fiscal;positive
risi*;foreign demand;positive
risi*;fundamental*;positive
risi*;government balance sheet*;positive
risi*;government bond*;positive
risi*;government budget;positive
risi*;import*;positive
risi*;integration;positive
risi*;labo(u)r;positive
risi*;package;positive
risi*;political unity ;positive
risi*;program*;positive
risi*;public sector ;positive
risi*;public service;positive
risi*;redistribut*;positive
risi*;reform*;positive
risi*;small and medium;positive
risi*;SME*;positive
risi*;sovereign bond*;positive
risi*;state budget ;positive
risi*;state securit*;positive
risi*;transmission ;positive
risi*;wage*;positive
solid;bail-out ;positive
solid;bailout;positive
solid;bond*;positive
solid;domestic demand;positive
solid;employee*;positive
solid;employer*;positive
solid;export*;positive
solid;fiscal;positive
solid;foreign demand;positive
solid;fundamental*;positive
solid;government balance sheet*;positive
solid;government bond*;positive
solid;government budget;positive
solid;import*;positive
solid;integration;positive
solid;labo(u)r;positive
solid;package;positive
solid;political unity ;positive
solid;program*;positive
solid;public sector ;positive
solid;public service;positive
solid;redistribut*;positive
solid;reform*;positive
solid;small and medium;positive
solid;SME*;positive
solid;sovereign bond*;positive
solid;state budget ;positive
solid;state securit*;positive
solid;transmission ;positive
solid;wage*;positive
sound;bail-out ;positive
sound;bailout;positive
sound;bond*;positive
sound;domestic demand;positive
sound;employee*;positive
sound;employer*;positive
sound;export*;positive
sound;fiscal;positive
sound;foreign demand;positive
sound;fundamental*;positive
sound;government balance sheet*;positive
sound;government bond*;positive
sound;government budget;positive
sound;import*;positive
sound;integration;positive
sound;labo(u)r;positive
sound;package;positive
sound;political unity ;positive
sound;program*;positive
sound;public sector ;positive
sound;public service;positive
sound;redistribut*;positive
sound;reform*;positive
sound;small and medium;positive
sound;SME*;positive
sound;sovereign bond*;positive
sound;state budget ;positive
sound;state securit*;positive
sound;transmission ;positive
sound;wage*;positive
stable;bail-out ;positive
stable;bailout;positive
stable;bond*;positive
stable;domestic demand;positive
stable;employee*;positive
stable;employer*;positive
stable;export*;positive
stable;fiscal;positive
stable;foreign demand;positive
stable;fundamental*;positive
stable;government balance sheet*;positive
stable;government bond*;positive
stable;government budget;positive
stable;import*;positive
stable;integration;positive
stable;labo(u)r;positive
stable;package;positive
stable;political unity ;positive
stable;program*;positive
stable;public sector ;positive
stable;public service;positive
stable;redistribut*;positive
stable;reform*;positive
stable;small and medium;positive
stable;SME*;positive
stable;sovereign bond*;positive
stable;state budget ;positive
stable;state securit*;positive
stable;transmission ;positive
stable;wage*;positive
steady ;bail-out ;positive
steady ;bailout;positive
steady ;bond*;positive
steady ;domestic demand;positive
steady ;employee*;positive
steady ;employer*;positive
steady ;export*;positive
steady ;fiscal;positive
steady ;foreign demand;positive
steady ;fundamental*;positive
steady ;government balance sheet*;positive
steady ;government bond*;positive
steady ;government budget;positive
steady ;import*;positive
steady ;integration;positive
steady ;labo(u)r;positive
steady ;package;positive
steady ;political unity ;positive
steady ;program*;positive
steady ;public sector ;positive
steady ;public service;positive
steady ;redistribut*;positive
steady ;reform*;positive
steady ;small and medium;positive
steady ;SME*;positive
steady ;sovereign bond*;positive
steady ;state budget ;positive
steady ;state securit*;positive
steady ;transmission ;positive
steady ;wage*;positive
stimul*;bail-out ;positive
stimul*;bailout;positive
stimul*;bond*;positive
stimul*;domestic demand;positive
stimul*;employee*;positive
stimul*;employer*;positive
stimul*;export*;positive
stimul*;fiscal;positive
stimul*;foreign demand;positive
stimul*;fundamental*;positive
stimul*;government balance sheet*;positive
stimul*;government bond*;positive
stimul*;government budget;positive
stimul*;import*;positive
stimul*;integration;positive
stimul*;labo(u)r;positive
stimul*;package;positive
stimul*;political unity ;positive
stimul*;program*;positive
stimul*;public sector ;positive
stimul*;public service;positive
stimul*;redistribut*;positive
stimul*;reform*;positive
stimul*;small and medium;positive
stimul*;SME*;positive
stimul*;sovereign bond*;positive
stimul*;state budget ;positive
stimul*;state securit*;positive
stimul*;transmission ;positive
stimul*;wage*;positive
strong*;bail-out ;positive
strong*;bailout;positive
strong*;bond*;positive
strong*;domestic demand;positive
strong*;employee*;positive
strong*;employer*;positive
strong*;export*;positive
strong*;fiscal;positive
strong*;foreign demand;positive
strong*;fundamental*;positive
strong*;government balance sheet*;positive
strong*;government bond*;positive
strong*;government budget;positive
strong*;import*;positive
strong*;integration;positive
strong*;labo(u)r;positive
strong*;package;positive
strong*;political unity ;positive
strong*;program*;positive
strong*;public sector ;positive
strong*;public service;positive
strong*;redistribut*;positive
strong*;reform*;positive
strong*;small and medium;positive
strong*;SME*;positive
strong*;sovereign bond*;positive
strong*;state budget ;positive
strong*;state securit*;positive
strong*;transmission ;positive
strong*;wage*;positive
success*;bail-out ;positive
success*;bailout;positive
success*;bond*;positive
success*;domestic demand;positive
success*;employee*;positive
success*;employer*;positive
success*;export*;positive
success*;fiscal;positive
success*;foreign demand;positive
success*;fundamental*;positive
success*;government balance sheet*;positive
success*;government bond*;positive
success*;government budget;positive
success*;import*;positive
success*;integration;positive
success*;labo(u)r;positive
success*;package;positive
success*;political unity ;positive
success*;program*;positive
success*;public sector ;positive
success*;public service;positive
success*;redistribut*;positive
success*;reform*;positive
success*;small and medium;positive
success*;SME*;positive
success*;sovereign bond*;positive
success*;state budget ;positive
success*;state securit*;positive
success*;transmission ;positive
success*;wage*;positive
support*;bail-out ;positive
support*;bailout;positive
support*;bond*;positive
support*;domestic demand;positive
support*;employee*;positive
support*;employer*;positive
support*;export*;positive
support*;fiscal;positive
support*;foreign demand;positive
support*;fundamental*;positive
support*;government balance sheet*;positive
support*;government bond*;positive
support*;government budget;positive
support*;import*;positive
support*;integration;positive
support*;labo(u)r;positive
support*;package;positive
support*;political unity ;positive
support*;program*;positive
support*;public sector ;positive
support*;public service;positive
support*;redistribut*;positive
support*;reform*;positive
support*;small and medium;positive
support*;SME*;positive
support*;sovereign bond*;positive
support*;state budget ;positive
support*;state securit*;positive
support*;transmission ;positive
support*;wage*;positive
unlimited;bail-out ;positive
unlimited;bailout;positive
unlimited;bond*;positive
unlimited;domestic demand;positive
unlimited;employee*;positive
unlimited;employer*;positive
unlimited;export*;positive
unlimited;fiscal;positive
unlimited;foreign demand;positive
unlimited;fundamental*;positive
unlimited;government balance sheet*;positive
unlimited;government bond*;positive
unlimited;government budget;positive
unlimited;import*;positive
unlimited;integration;positive
unlimited;labo(u)r;positive
unlimited;package;positive
unlimited;political unity ;positive
unlimited;program*;positive
unlimited;public sector ;positive
unlimited;public service;positive
unlimited;redistribut*;positive
unlimited;reform*;positive
unlimited;small and medium;positive
unlimited;SME*;positive
unlimited;sovereign bond*;positive
unlimited;state budget ;positive
unlimited;state securit*;positive
unlimited;transmission ;positive
unlimited;wage*;positive
consolidat*;bail-out ;negative
consolidat*;bailout;negative
consolidat*;bond*;negative
consolidat*;domestic demand;negative
consolidat*;employee*;negative
consolidat*;employer*;negative
consolidat*;export*;negative
consolidat*;fiscal;negative
consolidat*;foreign demand;negative
consolidat*;fundamental*;negative
consolidat*;government balance sheet*;negative
consolidat*;government bond*;negative
consolidat*;government budget;negative
consolidat*;import*;negative
consolidat*;integration;negative
consolidat*;labo(u)r;negative
consolidat*;package;negative
consolidat*;political unity ;negative
consolidat*;program*;negative
consolidat*;public sector ;negative
consolidat*;public service;negative
consolidat*;redistribut*;negative
consolidat*;reform*;negative
consolidat*;small and medium;negative
consolidat*;SME*;negative
consolidat*;sovereign bond*;negative
consolidat*;state budget ;negative
consolidat*;state securit*;negative
consolidat*;transmission ;negative
consolidat*;wage*;negative
corrupt ;bail-out ;negative
corrupt ;bailout;negative
corrupt ;bond*;negative
corrupt ;domestic demand;negative
corrupt ;employee*;negative
corrupt ;employer*;negative
corrupt ;export*;negative
corrupt ;fiscal;negative
corrupt ;foreign demand;negative
corrupt ;fundamental*;negative
corrupt ;government balance sheet*;negative
corrupt ;government bond*;negative
corrupt ;government budget;negative
corrupt ;import*;negative
corrupt ;integration;negative
corrupt ;labo(u)r;negative
corrupt ;package;negative
corrupt ;political unity ;negative
corrupt ;program*;negative
corrupt ;public sector ;negative
corrupt ;public service;negative
corrupt ;redistribut*;negative
corrupt ;reform*;negative
corrupt ;small and medium;negative
corrupt ;SME*;negative
corrupt ;sovereign bond*;negative
corrupt ;state budget ;negative
corrupt ;state securit*;negative
corrupt ;transmission ;negative
corrupt ;wage*;negative
declin*;bail-out ;negative
declin*;bailout;negative
declin*;bond*;negative
declin*;domestic demand;negative
declin*;employee*;negative
declin*;employer*;negative
declin*;export*;negative
declin*;fiscal;negative
declin*;foreign demand;negative
declin*;fundamental*;negative
declin*;government balance sheet*;negative
declin*;government bond*;negative
declin*;government budget;negative
declin*;import*;negative
declin*;integration;negative
declin*;labo(u)r;negative
declin*;package;negative
declin*;political unity ;negative
declin*;program*;negative
declin*;public sector ;negative
declin*;public service;negative
declin*;redistribut*;negative
declin*;reform*;negative
declin*;small and medium;negative
declin*;SME*;negative
declin*;sovereign bond*;negative
declin*;state budget ;negative
declin*;state securit*;negative
declin*;transmission ;negative
declin*;wage*;negative
destabili*;bail-out ;negative
destabili*;bailout;negative
destabili*;bond*;negative
destabili*;domestic demand;negative
destabili*;employee*;negative
destabili*;employer*;negative
destabili*;export*;negative
destabili*;fiscal;negative
destabili*;foreign demand;negative
destabili*;fundamental*;negative
destabili*;government balance sheet*;negative
destabili*;government bond*;negative
destabili*;government budget;negative
destabili*;import*;negative
destabili*;integration;negative
destabili*;labo(u)r;negative
destabili*;package;negative
destabili*;political unity ;negative
destabili*;program*;negative
destabili*;public sector ;negative
destabili*;public service;negative
destabili*;redistribut*;negative
destabili*;reform*;negative
destabili*;small and medium;negative
destabili*;SME*;negative
destabili*;sovereign bond*;negative
destabili*;state budget ;negative
destabili*;state securit*;negative
destabili*;transmission ;negative
destabili*;wage*;negative
deteriorat*;bail-out ;negative
deteriorat*;bailout;negative
deteriorat*;bond*;negative
deteriorat*;domestic demand;negative
deteriorat*;employee*;negative
deteriorat*;employer*;negative
deteriorat*;export*;negative
deteriorat*;fiscal;negative
deteriorat*;foreign demand;negative
deteriorat*;fundamental*;negative
deteriorat*;government balance sheet*;negative
deteriorat*;government bond*;negative
deteriorat*;government budget;negative
deteriorat*;import*;negative
deteriorat*;integration;negative
deteriorat*;labo(u)r;negative
deteriorat*;package;negative
deteriorat*;political unity ;negative
deteriorat*;program*;negative
deteriorat*;public sector ;negative
deteriorat*;public service;negative
deteriorat*;redistribut*;negative
deteriorat*;reform*;negative
deteriorat*;small and medium;negative
deteriorat*;SME*;negative
deteriorat*;sovereign bond*;negative
deteriorat*;state budget ;negative
deteriorat*;state securit*;negative
deteriorat*;transmission ;negative
deteriorat*;wage*;negative
diffic*;bail-out ;negative
diffic*;bailout;negative
diffic*;bond*;negative
diffic*;domestic demand;negative
diffic*;employee*;negative
diffic*;employer*;negative
diffic*;export*;negative
diffic*;fiscal;negative
diffic*;foreign demand;negative
diffic*;fundamental*;negative
diffic*;government balance sheet*;negative
diffic*;government bond*;negative
diffic*;government budget;negative
diffic*;import*;negative
diffic*;integration;negative
diffic*;labo(u)r;negative
diffic*;package;negative
diffic*;political unity ;negative
diffic*;program*;negative
diffic*;public sector ;negative
diffic*;public service;negative
diffic*;redistribut*;negative
diffic*;reform*;negative
diffic*;small and medium;negative
diffic*;SME*;negative
diffic*;sovereign bond*;negative
diffic*;state budget ;negative
diffic*;state securit*;negative
diffic*;transmission ;negative
diffic*;wage*;negative
diminish;bail-out ;negative
diminish;bailout;negative
diminish;bond*;negative
diminish;domestic demand;negative
diminish;employee*;negative
diminish;employer*;negative
diminish;export*;negative
diminish;fiscal;negative
diminish;foreign demand;negative
diminish;fundamental*;negative
diminish;government balance sheet*;negative
diminish;government bond*;negative
diminish;government budget;negative
diminish;import*;negative
diminish;integration;negative
diminish;labo(u)r;negative
diminish;package;negative
diminish;political unity ;negative
diminish;program*;negative
diminish;public sector ;negative
diminish;public service;negative
diminish;redistribut*;negative
diminish;reform*;negative
diminish;small and medium;negative
diminish;SME*;negative
diminish;sovereign bond*;negative
diminish;state budget ;negative
diminish;state securit*;negative
diminish;transmission ;negative
diminish;wage*;negative
discipline*;bail-out ;negative
discipline*;bailout;negative
discipline*;bond*;negative
discipline*;domestic demand;negative
discipline*;employee*;negative
discipline*;employer*;negative
discipline*;export*;negative
discipline*;fiscal;negative
discipline*;foreign demand;negative
discipline*;fundamental*;negative
discipline*;government balance sheet*;negative
discipline*;government bond*;negative
discipline*;government budget;negative
discipline*;import*;negative
discipline*;integration;negative
discipline*;labo(u)r;negative
discipline*;package;negative
discipline*;political unity ;negative
discipline*;program*;negative
discipline*;public sector ;negative
discipline*;public service;negative
discipline*;redistribut*;negative
discipline*;reform*;negative
discipline*;small and medium;negative
discipline*;SME*;negative
discipline*;sovereign bond*;negative
discipline*;state budget ;negative
discipline*;state securit*;negative
discipline*;transmission ;negative
discipline*;wage*;negative
fail*;bail-out ;negative
fail*;bailout;negative
fail*;bond*;negative
fail*;domestic demand;negative
fail*;employee*;negative
fail*;employer*;negative
fail*;export*;negative
fail*;fiscal;negative
fail*;foreign demand;negative
fail*;fundamental*;negative
fail*;government balance sheet*;negative
fail*;government bond*;negative
fail*;government budget;negative
fail*;import*;negative
fail*;integration;negative
fail*;labo(u)r;negative
fail*;package;negative
fail*;political unity ;negative
fail*;program*;negative
fail*;public sector ;negative
fail*;public service;negative
fail*;redistribut*;negative
fail*;reform*;negative
fail*;small and medium;negative
fail*;SME*;negative
fail*;sovereign bond*;negative
fail*;state budget ;negative
fail*;state securit*;negative
fail*;transmission ;negative
fail*;wage*;negative
fall*;bail-out ;negative
fall*;bailout;negative
fall*;bond*;negative
fall*;domestic demand;negative
fall*;employee*;negative
fall*;employer*;negative
fall*;export*;negative
fall*;fiscal;negative
fall*;foreign demand;negative
fall*;fundamental*;negative
fall*;government balance sheet*;negative
fall*;government bond*;negative
fall*;government budget;negative
fall*;import*;negative
fall*;integration;negative
fall*;labo(u)r;negative
fall*;package;negative
fall*;political unity ;negative
fall*;program*;negative
fall*;public sector ;negative
fall*;public service;negative
fall*;redistribut*;negative
fall*;reform*;negative
fall*;small and medium;negative
fall*;SME*;negative
fall*;sovereign bond*;negative
fall*;state budget ;negative
fall*;state securit*;negative
fall*;transmission ;negative
fall*;wage*;negative
fraud*;bail-out ;negative
fraud*;bailout;negative
fraud*;bond*;negative
fraud*;domestic demand;negative
fraud*;employee*;negative
fraud*;employer*;negative
fraud*;export*;negative
fraud*;fiscal;negative
fraud*;foreign demand;negative
fraud*;fundamental*;negative
fraud*;government balance sheet*;negative
