Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
unfertig,Glaubwürdigkeit,Negative
unsicher,Glaubwürdigkeit,Negative
unvollständig,Glaubwürdigkeit,Negative
verkleinern,Glaubwürdigkeit,Negative
verloren*,Glaubwürdigkeit,Negative
verringern,Glaubwürdigkeit,Negative
verschwunden,Glaubwürdigkeit,Negative
versehrt,Glaubwürdigkeit,Negative
verspielt,Glaubwürdigkeit,Negative
wenig*,Glaubwürdigkeit,Negative
zerrüttet ,Glaubwürdigkeit,Negative
zerstört,Glaubwürdigkeit,Negative
abnehmend,Hoffnung*,Negative
abwesend,Hoffnung*,Negative
ausbleiben*,Hoffnung*,Negative
beschädigt,Hoffnung*,Negative
defizitär,Hoffnung*,Negative
entkräftet,Hoffnung*,Negative
erschüttert,Hoffnung*,Negative
falsch,Hoffnung*,Negative
fehlend ,Hoffnung*,Negative
fehlt an,Hoffnung*,Negative
fort,Hoffnung*,Negative
gering*,Hoffnung*,Negative
kaputt,Hoffnung*,Negative
kein*,Hoffnung*,Negative
Mangel an,Hoffnung*,Negative
Mangel von,Hoffnung*,Negative
mangelhaft,Hoffnung*,Negative
nicht,Hoffnung*,Negative
niedergeschlagen,Hoffnung*,Negative
niedrig*,Hoffnung*,Negative
ohne,Hoffnung*,Negative
schwinden,Hoffnung*,Negative
unfertig,Hoffnung*,Negative
unsicher,Hoffnung*,Negative
unvollständig,Hoffnung*,Negative
verkleinern,Hoffnung*,Negative
verloren*,Hoffnung*,Negative
verringern,Hoffnung*,Negative
verschwunden,Hoffnung*,Negative
versehrt,Hoffnung*,Negative
verspielt,Hoffnung*,Negative
wenig*,Hoffnung*,Negative
zerrüttet ,Hoffnung*,Negative
zerstört,Hoffnung*,Negative
abnehmend,Vertrauen,Negative
abwesend,Vertrauen,Negative
ausbleiben*,Vertrauen,Negative
beschädigt,Vertrauen,Negative
defizitär,Vertrauen,Negative
entkräftet,Vertrauen,Negative
erschüttert,Vertrauen,Negative
falsch,Vertrauen,Negative
fehlend ,Vertrauen,Negative
fehlt an,Vertrauen,Negative
fort,Vertrauen,Negative
gering*,Vertrauen,Negative
kaputt,Vertrauen,Negative
kein*,Vertrauen,Negative
Mangel an,Vertrauen,Negative
Mangel von,Vertrauen,Negative
mangelhaft,Vertrauen,Negative
nicht,Vertrauen,Negative
niedergeschlagen,Vertrauen,Negative
niedrig*,Vertrauen,Negative
ohne,Vertrauen,Negative
schwinden,Vertrauen,Negative
unfertig,Vertrauen,Negative
unsicher,Vertrauen,Negative
unvollständig,Vertrauen,Negative
verkleinern,Vertrauen,Negative
verloren*,Vertrauen,Negative
verringern,Vertrauen,Negative
verschwunden,Vertrauen,Negative
versehrt,Vertrauen,Negative
verspielt,Vertrauen,Negative
wenig*,Vertrauen,Negative
zerrüttet ,Vertrauen,Negative
zerstört,Vertrauen,Negative
abnehmend,Zuversicht*,Negative
abwesend,Zuversicht*,Negative
ausbleiben*,Zuversicht*,Negative
beschädigt,Zuversicht*,Negative
defizitär,Zuversicht*,Negative
entkräftet,Zuversicht*,Negative
erschüttert,Zuversicht*,Negative
falsch,Zuversicht*,Negative
fehlend ,Zuversicht*,Negative
fehlt an,Zuversicht*,Negative
fort,Zuversicht*,Negative
gering*,Zuversicht*,Negative
kaputt,Zuversicht*,Negative
kein*,Zuversicht*,Negative
Mangel an,Zuversicht*,Negative
Mangel von,Zuversicht*,Negative
mangelhaft,Zuversicht*,Negative
nicht,Zuversicht*,Negative
niedergeschlagen,Zuversicht*,Negative
niedrig*,Zuversicht*,Negative
ohne,Zuversicht*,Negative
schwinden,Zuversicht*,Negative
unfertig,Zuversicht*,Negative
unsicher,Zuversicht*,Negative
unvollständig,Zuversicht*,Negative
verkleinern,Zuversicht*,Negative
verloren*,Zuversicht*,Negative
verringern,Zuversicht*,Negative
verschwunden,Zuversicht*,Negative
versehrt,Zuversicht*,Negative
verspielt,Zuversicht*,Negative
wenig*,Zuversicht*,Negative
zerrüttet ,Zuversicht*,Negative
zerstört,Zuversicht*,Negative
,vertraunensbild*,Positive
,Hoffnungslosigkeit,Negative
,Misstrauen,Negative
,Mißtrauen,Negative
,Unglaubwürdig*,Negative
,Vertrauensbruch,Negative
,Vertrauensmissbrauch,Negative
,Vertrauensverlust,Negative
