Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
depress*,cyclical position,Negative
destabili*,cyclical position,Negative
deteriorat*,cyclical position,Negative
devalu*,cyclical position,Negative
diffic*,cyclical position,Negative
diminish*,cyclical position,Negative
disappear*,cyclical position,Negative
disorderl*,cyclical position,Negative
downside,cyclical position,Negative
downward ,cyclical position,Negative
fall*,cyclical position,Negative
fragil*,cyclical position,Negative
limit ,cyclical position,Negative
low*,cyclical position,Negative
negative,cyclical position,Negative
plummet*,cyclical position,Negative
poor,cyclical position,Negative
precaution*,cyclical position,Negative
regulator,cyclical position,Negative
scrutinize*,cyclical position,Negative
severe,cyclical position,Negative
slack,cyclical position,Negative
slow,cyclical position,Negative
sluggish,cyclical position,Negative
small*,cyclical position,Negative
speculative*,cyclical position,Negative
struggling,cyclical position,Negative
subdued,cyclical position,Negative
supervis*,cyclical position,Negative
taper*,cyclical position,Negative
turbulent ,cyclical position,Negative
uncertain*,cyclical position,Negative
unfavourabl*,cyclical position,Negative
unstable,cyclical position,Negative
unsustainable,cyclical position,Negative
weak*,cyclical position,Negative
worse*,cyclical position,Negative
unfavourabl*,cyclical position,Negative
accelerat*,cyclical position,Positive
accomodate,cyclical position,Positive
better,cyclical position,Positive
bounce back,cyclical position,Positive
enhance,cyclical position,Positive
ensure,cyclical position,Positive
expand*,cyclical position,Positive
fast*,cyclical position,Positive
favourabl*,cyclical position,Positive
firm*,cyclical position,Positive
great*,cyclical position,Positive
high ,cyclical position,Positive
improv*,cyclical position,Positive
increas*,cyclical position,Positive
invigorate,cyclical position,Positive
larg*,cyclical position,Positive
lift,cyclical position,Positive
positive ,cyclical position,Positive
rais*,cyclical position,Positive
rallying,cyclical position,Positive
resilient,cyclical position,Positive
rise,cyclical position,Positive
risi*,cyclical position,Positive
robust ,cyclical position,Positive
safeguard ,cyclical position,Positive
secure,cyclical position,Positive
soar,cyclical position,Positive
solid ,cyclical position,Positive
solvent,cyclical position,Positive
sound,cyclical position,Positive
stable ,cyclical position,Positive
steady,cyclical position,Positive
stimul*,cyclical position,Positive
strengthen,cyclical position,Positive
strong ,cyclical position,Positive
success*,cyclical position,Positive
support* ,cyclical position,Positive
surge,cyclical position,Positive
sustainable,cyclical position,Positive
swift* ,cyclical position,Positive
unconventional*,cyclical position,Positive
upward,cyclical position,Positive
favorabl*,cyclical position,Positive
volitil*,cyclical position,Negative
uplifting,cyclical position,Positive
cautio*,financial ,Negative
collaps*,financial ,Negative
concern*,financial ,Negative
dampen*,financial ,Negative
decelerat*,financial ,Negative
declin*,financial ,Negative
decreas*,financial ,Negative
delay*,financial ,Negative
depress*,financial ,Negative
destabili*,financial ,Negative
deteriorat*,financial ,Negative
devalu*,financial ,Negative
diffic*,financial ,Negative
diminish*,financial ,Negative
disappear*,financial ,Negative
disorderl*,financial ,Negative
downside,financial ,Negative
downward ,financial ,Negative
fall*,financial ,Negative
fragil*,financial ,Negative
limit ,financial ,Negative
low*,financial ,Negative
negative,financial ,Negative
plummet*,financial ,Negative
poor,financial ,Negative
precaution*,financial ,Negative
regulator,financial ,Negative
scrutinize*,financial ,Negative
severe,financial ,Negative
slack,financial ,Negative
slow,financial ,Negative
sluggish,financial ,Negative
small*,financial ,Negative
speculative*,financial ,Negative
struggling,financial ,Negative
subdued,financial ,Negative
supervis*,financial ,Negative
taper*,financial ,Negative
turbulent ,financial ,Negative
uncertain*,financial ,Negative
unfavourabl*,financial ,Negative
unstable,financial ,Negative
unsustainable,financial ,Negative
weak*,financial ,Negative
worse*,financial ,Negative
unfavourabl*,financial ,Negative
accelerat*,financial ,Positive
accomodate,financial ,Positive
better,financial ,Positive
bounce back,financial ,Positive
enhance,financial ,Positive
ensure,financial ,Positive
expand*,financial ,Positive
fast*,financial ,Positive
favourabl*,financial ,Positive
firm*,financial ,Positive
great*,financial ,Positive
high ,financial ,Positive
improv*,financial ,Positive
increas*,financial ,Positive
invigorate,financial ,Positive
larg*,financial ,Positive
lift,financial ,Positive
positive ,financial ,Positive
rais*,financial ,Positive
rallying,financial ,Positive
resilient,financial ,Positive
rise,financial ,Positive
risi*,financial ,Positive
robust ,financial ,Positive
safeguard ,financial ,Positive
secure,financial ,Positive
soar,financial ,Positive
solid ,financial ,Positive
solvent,financial ,Positive
sound,financial ,Positive
stable ,financial ,Positive
steady,financial ,Positive
stimul*,financial ,Positive
strengthen,financial ,Positive
strong ,financial ,Positive
success*,financial ,Positive
support* ,financial ,Positive
surge,financial ,Positive
sustainable,financial ,Positive
swift* ,financial ,Positive
unconventional*,financial ,Positive
upward,financial ,Positive
favorabl*,financial ,Positive
volitil*,financial ,Negative
uplifting,financial ,Positive
cautio*,growth,Negative
collaps*,growth,Negative
concern*,growth,Negative
dampen*,growth,Negative
decelerat*,growth,Negative
declin*,growth,Negative
decreas*,growth,Negative
delay*,growth,Negative
depress*,growth,Negative
destabili*,growth,Negative
deteriorat*,growth,Negative
devalu*,growth,Negative
diffic*,growth,Negative
diminish*,growth,Negative
disappear*,growth,Negative
disorderl*,growth,Negative
downside,growth,Negative
downward ,growth,Negative
fall*,growth,Negative
fragil*,growth,Negative
limit ,growth,Negative
low*,growth,Negative
negative,growth,Negative
plummet*,growth,Negative
poor,growth,Negative
precaution*,growth,Negative
regulator,growth,Negative
scrutinize*,growth,Negative
severe,growth,Negative
slack,growth,Negative
slow,growth,Negative
sluggish,growth,Negative
small*,growth,Negative
speculative*,growth,Negative
struggling,growth,Negative
subdued,growth,Negative
supervis*,growth,Negative
taper*,growth,Negative
turbulent ,growth,Negative
uncertain*,growth,Negative
unfavourabl*,growth,Negative
unstable,growth,Negative
unsustainable,growth,Negative
weak*,growth,Negative
worse*,growth,Negative
unfavourabl*,growth,Negative
accelerat*,growth,Positive
accomodate,growth,Positive
better,growth,Positive
bounce back,growth,Positive
enhance,growth,Positive
ensure,growth,Positive
expand*,growth,Positive
fast*,growth,Positive
favourabl*,growth,Positive
firm*,growth,Positive
great*,growth,Positive
high ,growth,Positive
improv*,growth,Positive
increas*,growth,Positive
invigorate,growth,Positive
larg*,growth,Positive
lift,growth,Positive
positive ,growth,Positive
rais*,growth,Positive
rallying,growth,Positive
resilient,growth,Positive
rise,growth,Positive
risi*,growth,Positive
robust ,growth,Positive
safeguard ,growth,Positive
secure,growth,Positive
soar,growth,Positive
solid ,growth,Positive
solvent,growth,Positive
sound,growth,Positive
stable ,growth,Positive
steady,growth,Positive
stimul*,growth,Positive
strengthen,growth,Positive
strong ,growth,Positive
success*,growth,Positive
support* ,growth,Positive
surge,growth,Positive
sustainable,growth,Positive
swift* ,growth,Positive
unconventional*,growth,Positive
upward,growth,Positive
favorabl*,growth,Positive
volitil*,growth,Negative
uplifting,growth,Positive
cautio*,instrument* ,Negative
collaps*,instrument* ,Negative
concern*,instrument* ,Negative
dampen*,instrument* ,Negative
decelerat*,instrument* ,Negative
declin*,instrument* ,Negative
decreas*,instrument* ,Negative
delay*,instrument* ,Negative
depress*,instrument* ,Negative
destabili*,instrument* ,Negative
deteriorat*,instrument* ,Negative
devalu*,instrument* ,Negative
diffic*,instrument* ,Negative
diminish*,instrument* ,Negative
disappear*,instrument* ,Negative
disorderl*,instrument* ,Negative
downside,instrument* ,Negative
downward ,instrument* ,Negative
fall*,instrument* ,Negative
fragil*,instrument* ,Negative
limit ,instrument* ,Negative
low*,instrument* ,Negative
negative,instrument* ,Negative
plummet*,instrument* ,Negative
poor,instrument* ,Negative
precaution*,instrument* ,Negative
regulator,instrument* ,Negative
scrutinize*,instrument* ,Negative
severe,instrument* ,Negative
slack,instrument* ,Negative
slow,instrument* ,Negative
sluggish,instrument* ,Negative
small*,instrument* ,Negative
speculative*,instrument* ,Negative
struggling,instrument* ,Negative
subdued,instrument* ,Negative
supervis*,instrument* ,Negative
taper*,instrument* ,Negative
turbulent ,instrument* ,Negative
uncertain*,instrument* ,Negative
unfavourabl*,instrument* ,Negative
unstable,instrument* ,Negative
unsustainable,instrument* ,Negative
weak*,instrument* ,Negative
worse*,instrument* ,Negative
unfavourabl*,instrument* ,Negative
accelerat*,instrument* ,Positive
accomodate,instrument* ,Positive
better,instrument* ,Positive
bounce back,instrument* ,Positive
enhance,instrument* ,Positive
ensure,instrument* ,Positive
expand*,instrument* ,Positive
fast*,instrument* ,Positive
favourabl*,instrument* ,Positive
firm*,instrument* ,Positive
great*,instrument* ,Positive
high ,instrument* ,Positive
improv*,instrument* ,Positive
increas*,instrument* ,Positive
invigorate,instrument* ,Positive
larg*,instrument* ,Positive
lift,instrument* ,Positive
positive ,instrument* ,Positive
rais*,instrument* ,Positive
rallying,instrument* ,Positive
resilient,instrument* ,Positive
rise,instrument* ,Positive
risi*,instrument* ,Positive
robust ,instrument* ,Positive
safeguard ,instrument* ,Positive
secure,instrument* ,Positive
soar,instrument* ,Positive
solid ,instrument* ,Positive
solvent,instrument* ,Positive
sound,instrument* ,Positive
stable ,instrument* ,Positive
steady,instrument* ,Positive
stimul*,instrument* ,Positive
strengthen,instrument* ,Positive
strong ,instrument* ,Positive
success*,instrument* ,Positive
support* ,instrument* ,Positive
surge,instrument* ,Positive
sustainable,instrument* ,Positive
swift* ,instrument* ,Positive
unconventional*,instrument* ,Positive
upward,instrument* ,Positive
favorabl*,instrument* ,Positive
volitil*,instrument* ,Negative
uplifting,instrument* ,Positive
cautio*,investment,Negative
collaps*,investment,Negative
concern*,investment,Negative
dampen*,investment,Negative
decelerat*,investment,Negative
declin*,investment,Negative
decreas*,investment,Negative
delay*,investment,Negative
depress*,investment,Negative
destabili*,investment,Negative
deteriorat*,investment,Negative
devalu*,investment,Negative
diffic*,investment,Negative
diminish*,investment,Negative
disappear*,investment,Negative
disorderl*,investment,Negative
downside,investment,Negative
downward ,investment,Negative
fall*,investment,Negative
fragil*,investment,Negative
limit ,investment,Negative
low*,investment,Negative
negative,investment,Negative
plummet*,investment,Negative
poor,investment,Negative
precaution*,investment,Negative
regulator,investment,Negative
scrutinize*,investment,Negative
severe,investment,Negative
slack,investment,Negative
slow,investment,Negative
sluggish,investment,Negative
small*,investment,Negative
speculative*,investment,Negative
struggling,investment,Negative
subdued,investment,Negative
supervis*,investment,Negative
taper*,investment,Negative
turbulent ,investment,Negative
uncertain*,investment,Negative
unfavourabl*,investment,Negative
unstable,investment,Negative
unsustainable,investment,Negative
weak*,investment,Negative
worse*,investment,Negative
unfavourabl*,investment,Negative
accelerat*,investment,Positive
accomodate,investment,Positive
better,investment,Positive
bounce back,investment,Positive
enhance,investment,Positive
ensure,investment,Positive
expand*,investment,Positive
fast*,investment,Positive
favourabl*,investment,Positive
firm*,investment,Positive
great*,investment,Positive
high ,investment,Positive
improv*,investment,Positive
increas*,investment,Positive
invigorate,investment,Positive
larg*,investment,Positive
lift,investment,Positive
positive ,investment,Positive
rais*,investment,Positive
rallying,investment,Positive
resilient,investment,Positive
rise,investment,Positive
risi*,investment,Positive
robust ,investment,Positive
safeguard ,investment,Positive
secure,investment,Positive
soar,investment,Positive
solid ,investment,Positive
solvent,investment,Positive
sound,investment,Positive
stable ,investment,Positive
steady,investment,Positive
stimul*,investment,Positive
strengthen,investment,Positive
strong ,investment,Positive
success*,investment,Positive
support* ,investment,Positive
surge,investment,Positive
sustainable,investment,Positive
swift* ,investment,Positive
unconventional*,investment,Positive
upward,investment,Positive
favorabl*,investment,Positive
volitil*,investment,Negative
uplifting,investment,Positive
cautio*,investor*,Negative
collaps*,investor*,Negative
concern*,investor*,Negative
dampen*,investor*,Negative
decelerat*,investor*,Negative
declin*,investor*,Negative
decreas*,investor*,Negative
delay*,investor*,Negative
depress*,investor*,Negative
destabili*,investor*,Negative
deteriorat*,investor*,Negative
devalu*,investor*,Negative
diffic*,investor*,Negative
diminish*,investor*,Negative
disappear*,investor*,Negative
disorderl*,investor*,Negative
downside,investor*,Negative
downward ,investor*,Negative
fall*,investor*,Negative
fragil*,investor*,Negative
limit ,investor*,Negative
low*,investor*,Negative
negative,investor*,Negative
plummet*,investor*,Negative
poor,investor*,Negative
precaution*,investor*,Negative
regulator,investor*,Negative
scrutinize*,investor*,Negative
severe,investor*,Negative
slack,investor*,Negative
slow,investor*,Negative
sluggish,investor*,Negative
small*,investor*,Negative
speculative*,investor*,Negative
struggling,investor*,Negative
subdued,investor*,Negative
supervis*,investor*,Negative
taper*,investor*,Negative
turbulent ,investor*,Negative
uncertain*,investor*,Negative
unfavourabl*,investor*,Negative
unstable,investor*,Negative
unsustainable,investor*,Negative
weak*,investor*,Negative
worse*,investor*,Negative
unfavourabl*,investor*,Negative
accelerat*,investor*,Positive
accomodate,investor*,Positive
better,investor*,Positive
bounce back,investor*,Positive
enhance,investor*,Positive
ensure,investor*,Positive
expand*,investor*,Positive
fast*,investor*,Positive
favourabl*,investor*,Positive
firm*,investor*,Positive
great*,investor*,Positive
high ,investor*,Positive
improv*,investor*,Positive
increas*,investor*,Positive
invigorate,investor*,Positive
larg*,investor*,Positive
lift,investor*,Positive
positive ,investor*,Positive
rais*,investor*,Positive
rallying,investor*,Positive
resilient,investor*,Positive
rise,investor*,Positive
risi*,investor*,Positive
robust ,investor*,Positive
safeguard ,investor*,Positive
secure,investor*,Positive
soar,investor*,Positive
solid ,investor*,Positive
solvent,investor*,Positive
sound,investor*,Positive
stable ,investor*,Positive
steady,investor*,Positive
stimul*,investor*,Positive
strengthen,investor*,Positive
strong ,investor*,Positive
success*,investor*,Positive
support* ,investor*,Positive
surge,investor*,Positive
sustainable,investor*,Positive
swift* ,investor*,Positive
unconventional*,investor*,Positive
upward,investor*,Positive
favorabl*,investor*,Positive
volitil*,investor*,Negative
uplifting,investor*,Positive
cautio*,liquidity,Negative
collaps*,liquidity,Negative
concern*,liquidity,Negative
dampen*,liquidity,Negative
decelerat*,liquidity,Negative
declin*,liquidity,Negative
decreas*,liquidity,Negative
delay*,liquidity,Negative
depress*,liquidity,Negative
destabili*,liquidity,Negative
deteriorat*,liquidity,Negative
devalu*,liquidity,Negative
diffic*,liquidity,Negative
diminish*,liquidity,Negative
disappear*,liquidity,Negative
disorderl*,liquidity,Negative
downside,liquidity,Negative
downward ,liquidity,Negative
fall*,liquidity,Negative
fragil*,liquidity,Negative
limit ,liquidity,Negative
low*,liquidity,Negative
negative,liquidity,Negative
plummet*,liquidity,Negative
poor,liquidity,Negative
precaution*,liquidity,Negative
regulator,liquidity,Negative
scrutinize*,liquidity,Negative
severe,liquidity,Negative
slack,liquidity,Negative
slow,liquidity,Negative
sluggish,liquidity,Negative
small*,liquidity,Negative
speculative*,liquidity,Negative
struggling,liquidity,Negative
subdued,liquidity,Negative
supervis*,liquidity,Negative
taper*,liquidity,Negative
turbulent ,liquidity,Negative
uncertain*,liquidity,Negative
unfavourabl*,liquidity,Negative
unstable,liquidity,Negative
unsustainable,liquidity,Negative
weak*,liquidity,Negative
worse*,liquidity,Negative
unfavourabl*,liquidity,Negative
accelerat*,liquidity,Positive
accomodate,liquidity,Positive
better,liquidity,Positive
bounce back,liquidity,Positive
enhance,liquidity,Positive
ensure,liquidity,Positive
expand*,liquidity,Positive
fast*,liquidity,Positive
favourabl*,liquidity,Positive
firm*,liquidity,Positive
great*,liquidity,Positive
high ,liquidity,Positive
improv*,liquidity,Positive
increas*,liquidity,Positive
invigorate,liquidity,Positive
larg*,liquidity,Positive
lift,liquidity,Positive
positive ,liquidity,Positive
rais*,liquidity,Positive
rallying,liquidity,Positive
resilient,liquidity,Positive
rise,liquidity,Positive
risi*,liquidity,Positive
robust ,liquidity,Positive
safeguard ,liquidity,Positive
secure,liquidity,Positive
soar,liquidity,Positive
solid ,liquidity,Positive
solvent,liquidity,Positive
sound,liquidity,Positive
stable ,liquidity,Positive
steady,liquidity,Positive
stimul*,liquidity,Positive
strengthen,liquidity,Positive
strong ,liquidity,Positive
success*,liquidity,Positive
support* ,liquidity,Positive
surge,liquidity,Positive
sustainable,liquidity,Positive
swift* ,liquidity,Positive
unconventional*,liquidity,Positive
upward,liquidity,Positive
favorabl*,liquidity,Positive
volitil*,liquidity,Negative
uplifting,liquidity,Positive
cautio*,market*,Negative
collaps*,market*,Negative
concern*,market*,Negative
dampen*,market*,Negative
decelerat*,market*,Negative
declin*,market*,Negative
decreas*,market*,Negative
delay*,market*,Negative
depress*,market*,Negative
destabili*,market*,Negative
deteriorat*,market*,Negative
devalu*,market*,Negative
diffic*,market*,Negative
diminish*,market*,Negative
disappear*,market*,Negative
disorderl*,market*,Negative
downside,market*,Negative
downward ,market*,Negative
fall*,market*,Negative
fragil*,market*,Negative
limit ,market*,Negative
low*,market*,Negative
negative,market*,Negative
plummet*,market*,Negative
poor,market*,Negative
precaution*,market*,Negative
regulator,market*,Negative
scrutinize*,market*,Negative
severe,market*,Negative
slack,market*,Negative
slow,market*,Negative
sluggish,market*,Negative
small*,market*,Negative
speculative*,market*,Negative
struggling,market*,Negative
subdued,market*,Negative
supervis*,market*,Negative
taper*,market*,Negative
turbulent ,market*,Negative
uncertain*,market*,Negative
unfavourabl*,market*,Negative
unstable,market*,Negative
unsustainable,market*,Negative
weak*,market*,Negative
worse*,market*,Negative
unfavourabl*,market*,Negative
accelerat*,market*,Positive
accomodate,market*,Positive
better,market*,Positive
bounce back,market*,Positive
enhance,market*,Positive
ensure,market*,Positive
expand*,market*,Positive
fast*,market*,Positive
favourabl*,market*,Positive
firm*,market*,Positive
great*,market*,Positive
high ,market*,Positive
improv*,market*,Positive
increas*,market*,Positive
invigorate,market*,Positive
larg*,market*,Positive
lift,market*,Positive
positive ,market*,Positive
rais*,market*,Positive
rallying,market*,Positive
resilient,market*,Positive
rise,market*,Positive
risi*,market*,Positive
robust ,market*,Positive
safeguard ,market*,Positive
secure,market*,Positive
soar,market*,Positive
solid ,market*,Positive
solvent,market*,Positive
sound,market*,Positive
stable ,market*,Positive
steady,market*,Positive
stimul*,market*,Positive
strengthen,market*,Positive
strong ,market*,Positive
success*,market*,Positive
support* ,market*,Positive
surge,market*,Positive
sustainable,market*,Positive
swift* ,market*,Positive
unconventional*,market*,Positive
upward,market*,Positive
favorabl*,market*,Positive
volitil*,market*,Negative
uplifting,market*,Positive
,overheat*,Negative
cautio*,portfolio ,Negative
collaps*,portfolio ,Negative
concern*,portfolio ,Negative
dampen*,portfolio ,Negative
decelerat*,portfolio ,Negative
declin*,portfolio ,Negative
decreas*,portfolio ,Negative
delay*,portfolio ,Negative
depress*,portfolio ,Negative
destabili*,portfolio ,Negative
deteriorat*,portfolio ,Negative
devalu*,portfolio ,Negative
diffic*,portfolio ,Negative
diminish*,portfolio ,Negative
disappear*,portfolio ,Negative
disorderl*,portfolio ,Negative
downside,portfolio ,Negative
downward ,portfolio ,Negative
fall*,portfolio ,Negative
fragil*,portfolio ,Negative
limit ,portfolio ,Negative
low*,portfolio ,Negative
negative,portfolio ,Negative
plummet*,portfolio ,Negative
poor,portfolio ,Negative
precaution*,portfolio ,Negative
regulator,portfolio ,Negative
scrutinize*,portfolio ,Negative
severe,portfolio ,Negative
slack,portfolio ,Negative
slow,portfolio ,Negative
sluggish,portfolio ,Negative
small*,portfolio ,Negative
speculative*,portfolio ,Negative
struggling,portfolio ,Negative
subdued,portfolio ,Negative
supervis*,portfolio ,Negative
taper*,portfolio ,Negative
turbulent ,portfolio ,Negative
uncertain*,portfolio ,Negative
unfavourabl*,portfolio ,Negative
unstable,portfolio ,Negative
unsustainable,portfolio ,Negative
weak*,portfolio ,Negative
worse*,portfolio ,Negative
unfavourabl*,portfolio ,Negative
accelerat*,portfolio ,Positive
accomodate,portfolio ,Positive
better,portfolio ,Positive
bounce back,portfolio ,Positive
enhance,portfolio ,Positive
ensure,portfolio ,Positive
expand*,portfolio ,Positive
fast*,portfolio ,Positive
favourabl*,portfolio ,Positive
firm*,portfolio ,Positive
great*,portfolio ,Positive
high ,portfolio ,Positive
improv*,portfolio ,Positive
increas*,portfolio ,Positive
invigorate,portfolio ,Positive
larg*,portfolio ,Positive
lift,portfolio ,Positive
positive ,portfolio ,Positive
rais*,portfolio ,Positive
rallying,portfolio ,Positive
resilient,portfolio ,Positive
rise,portfolio ,Positive
risi*,portfolio ,Positive
robust ,portfolio ,Positive
safeguard ,portfolio ,Positive
secure,portfolio ,Positive
soar,portfolio ,Positive
solid ,portfolio ,Positive
solvent,portfolio ,Positive
sound,portfolio ,Positive
stable ,portfolio ,Positive
steady,portfolio ,Positive
stimul*,portfolio ,Positive
strengthen,portfolio ,Positive
strong ,portfolio ,Positive
success*,portfolio ,Positive
support* ,portfolio ,Positive
surge,portfolio ,Positive
sustainable,portfolio ,Positive
swift* ,portfolio ,Positive
unconventional*,portfolio ,Positive
upward,portfolio ,Positive
favorabl*,portfolio ,Positive
volitil*,portfolio ,Negative
uplifting,portfolio ,Positive
